,Cognitive Complexity,,,Cyclomatic Complexity,,
Question,python,java,javascript,python,java,javascript
Arithmetic Slices,4,3,8,4,3,5
Arithmetic Slices II - Subsequence,4,3,10,4,3,7
Best Time to Buy and Sell Stock with Cooldown,4,6,3,4,4,3
Burst Balloons,6,7,8,4,5,6
Can I Win,2,11,2,3,10,3
Coin Change,7,9,8,5,7,8
Combination Sum IV,6,9,7,4,7,5
Concatenated Words,11,20,3,8,18,3
Construct Binary Tree from Inorder and Postorder Traversal,2,4,1,3,9,2
Count Numbers with Unique Digits,11,2,3,12,3,4
Count The Repetitions,8,10,8,5,7,5
Counting Bits,1,1,1,2,2,2
Distinct Subsequences,7,8,12,5,5,6
Frog Jump,14,15,7,8,10,5
Integer Break,42,3,3,43,4,4
Integer Replacement,3,3,8,3,3,9
Largest Divisible Subset,14,12,11,8,9,9
Longest Increasing Path in a Matrix,5,14,4,5,16,4
Longest Increasing Subsequence,7,7,6,5,6,5
Max Sum of Rectangle No Larger Than K,16,22,16,8,9,7
Non-overlapping Intervals,5,6,5,4,6,5
Number of Digit One,2,3,6,3,3,4
Partition Equal Subset Sum,6,6,14,6,6,10
Pascal's Triangle,6,6,8,6,6,5
Pascal's Triangle II,8,3,3,4,3,3
Poor Pigs,1,0,1,2,1,2
Rotate Function,3,4,2,4,5,3
Russian Doll Envelopes,8,11,10,6,7,8
Split Array Largest Sum,7,8,5,6,6,4
Super Ugly Number,6,8,6,4,5,4
Two Sum,6,3,3,4,3,3
Ugly Number II,7,7,9,5,5,7
Unique Substrings in Wraparound String,10,6,5,6,5,4
